,Network,Station,Latitude,Longitude,Distance,Azimuth
274,TA,P25A,39.512501,-104.167999,80.80655,154.80125
275,TA,P26A,39.5602,-103.346497,80.58203,155.42252
276,TA,P27A,39.555901,-102.578201,80.33345,156.00307
277,TA,P28A,39.5732,-101.754799,80.09323,156.62988
278,TA,P29A,39.6021,-100.931602,79.87032,157.26048
279,TA,P30A,39.544201,-100.246803,79.61419,157.78172
280,TA,P31A,39.521099,-99.378304,79.34204,158.44934
281,TA,P32A,39.622299,-98.601097,79.21828,159.058
282,TA,P33A,39.436298,-97.694603,78.79731,159.75035
283,TA,Q23A,38.904499,-105.833702,80.82481,153.5157
284,TA,Q24A,38.9641,-105.1492,80.64193,154.02879
285,TA,Q25A,38.914501,-104.2472,80.29244,154.69921
286,TA,Q26A,38.923401,-103.519501,80.05998,155.2466
287,TA,Q28A,39.062302,-101.830902,79.6483,156.53549
288,TA,Q29A,38.890499,-100.978699,79.22896,157.17339
289,TA,Q30A,38.9772,-100.220703,79.08208,157.76128
290,TA,Q31A,39.004799,-99.394997,78.86708,158.39975
291,TA,Q32A,38.990799,-98.559601,78.61746,159.04581
292,TA,Q33A,38.998199,-97.832703,78.42411,159.61191
293,TA,R11A,38.3489,-115.585403,84.1717,146.50416
294,TA,R23A,38.190701,-105.826401,80.1841,153.4676
295,TA,R24A,38.231499,-105.107498,79.96966,154.00479
296,TA,R25A,38.1474,-104.283401,79.61198,154.61367
297,TA,R26A,38.3009,-103.446999,79.47136,155.25397
298,TA,R27A,38.2859,-102.797997,79.2456,155.74275
299,TA,R28A,38.3423,-101.8106,78.98218,156.49661
300,TA,R29A,38.424301,-101.138298,78.84861,157.01602
301,TA,R30A,38.284401,-100.276901,78.45831,157.66572
302,TA,R31A,38.288799,-99.5271,78.24057,158.24395
303,TA,R32A,38.422501,-98.711098,78.13009,158.88609
304,TA,R33A,38.308102,-97.9842,77.8197,159.44286
305,TA,S22A,37.746101,-106.8293,80.14753,152.69236
306,TA,S23A,37.705898,-106.002296,79.81352,153.29894
307,TA,S24A,37.640701,-105.212601,79.47601,153.87934
308,TA,S25A,37.660599,-104.434898,79.22451,154.46105
309,TA,S26A,37.621601,-103.4711,78.86322,155.18114
310,TA,S27A,37.683701,-102.898201,78.73003,155.61854
311,TA,S28A,37.589901,-101.897903,78.32083,156.36958
312,TA,S29A,37.6199,-101.117996,78.10263,156.96723
313,TA,S30A,37.640202,-100.463997,77.91994,157.47034
314,TA,S31A,37.619301,-99.484497,77.60688,158.2236
315,TA,S32A,37.7001,-98.936302,77.52181,158.65473
316,TA,S33A,37.593601,-98.001602,77.15632,159.37336
317,TA,SFIN,40.379002,-87.096703,77.45015,168.27419
318,TA,SPMN,45.224602,-92.803703,83.1601,163.88965
319,TA,T23A,37.036098,-106.037201,79.22853,153.21721
320,TA,T24B,37.062401,-105.381699,79.01732,153.70501
321,TA,T25A,37.138802,-104.410797,78.74596,154.43513
322,TA,T26A,37.174702,-103.5933,78.49925,155.05142
323,TA,T27A,37.061401,-102.721397,78.10549,155.69956
324,TA,T28A,37.120399,-102.113602,77.96077,156.16571
325,TA,T29A,37.156502,-101.294197,77.73208,156.79342
326,TA,T30A,37.052601,-100.527397,77.39737,157.37214
327,TA,T31A,37.097698,-99.677101,77.18058,158.03116
328,TA,T32A,37.179699,-98.924698,77.03427,158.62082
329,TA,T33A,37.082401,-98.2444,76.74738,159.14191
330,TA,TIGA,31.4389,-83.589798,68.15159,170.70344
331,TA,TUL1,35.9104,-95.791901,74.97171,160.96982
332,TA,U15A,36.428001,-112.291496,81.14371,148.65895
333,TA,U22A,36.3773,-106.854599,78.94269,152.55727
334,TA,U23A,36.328899,-106.191902,78.65472,153.04036
335,TA,U24A,36.409302,-105.278397,78.39561,153.72381
336,TA,U25A,36.399799,-104.408096,78.07929,154.37151
337,TA,U26A,36.394501,-103.743896,77.84442,154.86885
338,TA,U27A,36.421299,-102.8246,77.55731,155.56438
339,TA,U28A,36.379299,-102.224297,77.3201,156.01561
340,TA,U29A,36.4519,-101.270203,77.07769,156.74953
341,TA,U30A,36.530399,-100.650902,76.95445,157.23128
342,TA,U31A,36.369499,-99.8508,76.55897,157.83302
343,TA,U32A,36.379501,-99.001404,76.31281,158.49181
344,TA,U33A,36.432701,-98.113503,76.10336,159.18815
345,TA,U34A,36.436501,-97.5354,75.94271,159.64088
346,TA,V22A,35.913799,-106.909401,78.5525,152.47441
347,TA,V23A,35.745201,-106.183296,78.13203,152.99218
348,TA,V24A,35.725899,-105.271599,77.78127,153.66483
349,TA,V25A,35.838299,-104.616402,77.64743,154.16335
350,TA,V26A,35.796398,-103.786003,77.3183,154.78107
351,TA,V27A,35.756901,-102.836098,76.95717,155.49331
352,TA,V28A,35.7505,-102.224297,76.7464,155.95657
353,TA,V29A,35.873402,-101.520897,76.6279,156.5042
354,TA,V30A,35.762299,-100.689201,76.25932,157.13079
355,TA,V31A,35.773899,-99.842499,76.00558,157.78441
356,TA,V32A,35.7202,-99.043701,75.71293,158.3985
357,TA,V33A,35.8209,-98.286201,75.58246,158.99808
358,TA,V34A,35.834499,-97.517601,75.374,159.60115
359,TA,W13A,35.098999,-113.885399,80.70482,147.43795
360,TA,W18A,35.118099,-109.735703,78.9601,150.35207
361,TA,W23A,35.1605,-106.150299,77.59957,152.95926
362,TA,W24A,35.210602,-105.407501,77.36977,153.51339
363,TA,W25A,35.217701,-104.460602,77.03401,154.21889
364,TA,W26A,35.0891,-103.765602,76.67225,154.7266
365,TA,W27A,35.063702,-103.062698,76.40508,155.25351
366,TA,W28A,35.257401,-102.206299,76.2907,155.92197
367,TA,W29A,35.121201,-101.647598,75.98078,156.33399
368,TA,W30A,35.181801,-100.577003,75.68942,157.16065
369,TA,W31A,35.186401,-99.943497,75.49392,157.64968
370,TA,W32A,35.123798,-99.245796,75.22066,158.18418
371,TA,W33A,35.151798,-98.468597,75.01268,158.79231
372,TA,W34A,35.235199,-97.7733,74.88667,159.34461
373,TA,WHTX,31.991301,-97.4561,71.76261,159.25088
374,TA,X16A,34.417801,-111.441101,79.06564,149.07435
375,TA,X18A,34.529301,-109.950104,78.53732,150.14079
376,TA,X23A,34.581001,-106.188103,77.09849,152.87209
377,TA,X24A,34.564602,-105.434898,76.80264,153.42681
378,TA,X25A,34.5271,-104.662102,76.48602,153.99741
379,TA,X26A,34.5508,-103.810303,76.20205,154.6374
380,TA,X27A,34.6469,-103.097397,76.03913,155.1844
381,TA,X28A,34.518501,-102.197304,75.61412,155.85317
382,TA,X29A,34.445202,-101.700798,75.38035,156.22386
383,TA,X30A,34.446098,-100.874001,75.10864,156.85731
384,TA,X31A,34.630901,-99.979301,74.99219,157.56618
385,TA,X32A,34.421398,-99.2854,74.5818,158.08273
386,TA,X33A,34.541,-98.500603,74.4537,158.7068
387,TA,X34A,34.601002,-97.832603,74.31146,159.2362
388,TA,Y12C,33.750301,-114.523804,79.8601,146.87517
